Year,Month,Date,Chapter,General Fund,Savings/Strike
2024,Jan,1/16/2024,BSSU,"$80,696.26 ","$61,204.13 "
2024,Jan,1/16/2024,LA LABOR FED,"$9,694.55 ",$0.00 
2024,Jan,1/16/2024,PROTEC17,"$21,865.17 ",$0.00 
2024,Jan,1/16/2024,SEIU 121RN ,"$57,620.48 ",$0.00 
2024,Jan,1/16/2024,SEIU 925 ,"$253,887.41 ",$0.00 
2024,Jan,1/16/2024,SEIU 2015 ,"$181,905.00 ","$137,101.42 "
2024,Jan,1/16/2024,SEIU 221 ,"$17,772.79 ",$0.00 
2024,Jan,1/16/2024,UFCW 21 ,"$52,294.73 ",$0.00 
2023,Dec,12/19/2023,WORKING WA,"$7,554.67 ",$0.00 
2023,Dec,12/19/2023,BSSU,"$79,076.58 ","$61,194.25 "
2023,Dec,12/19/2023,LA LABOR FED,"$9,694.55 ",$0.00 
2023,Dec,12/19/2023,PROTEC17,"$21,412.00 ",$0.00 
2023,Dec,12/19/2023,SEIU 121RN ,"$57,088.93 ",$0.00 
2023,Dec,12/19/2023,SEIU 925 ,"$253,887.41 ",$0.00 
2023,Dec,12/19/2023,SEIU 2015 ,"$179,722.87 ","$133,394.96 "
2023,Dec,12/19/2023,SEIU 221 ,"$17,396.86 ",$0.00 
2023,Dec,12/19/2023,UFCW 21 ,"$49,712.77 ",$0.00 
